[1, 7]
[(0, 3), 'S']
[(5, 1), 'S']
[(0, 4), 'S']
[(3, 2), 'O']
[(0, 1), 'O']
[(4, 2), 'S']
[(2, 2), 'S']
[(1, 3), 'O']
[(2, 3), 'S']
[(4, 1), 'S']
[(6, 1), 'O']
[(5, 0), 'O']
[(4, 6), 'O']
[(6, 6), 'O']
[(2, 0), 'S']
[(3, 1), 'O']
[(2, 1), 'S']
[(4, 3), 'S']
[(1, 2), 'O']
[(4, 0), 'S']
[(3, 0), 'O']
[(3, 3), 'O']
[(4, 4), 'S']
[(0, 2), 'S']
[(2, 4), 'S']
[(1, 4), 'O']
[(1, 1), 'O']
[(0, 0), 'S']
[(3, 4), 'O']
[(2, 5), 'S']
[(4, 5), 'S']
[(0, 5), 'S']
[(3, 5), 'O']
[(2, 6), 'S']
[(1, 5), 'O']
[(1, 0), 'O']
[(6, 0), 'S']
[(6, 2), 'S']
[(5, 3), 'O']
[(6, 3), 'S']
[(5, 2), 'O']
[(5, 4), 'O']
[(6, 4), 'S']
[(6, 5), 'S']
[(5, 5), 'O']
[(0, 6), 'S']
[(1, 6), 'O']
[(3, 6), 'O']
[(5, 6), 'S']
